"","lons","lats","max_detect","when_detect","max_detect_scaled","when_detect_scaled","cluster"
"4974",-6.81095312706208,59.398147454502,-0.49367088607595,2047,0.253164556962025,0.788,2
"4975",-5.84574330927995,59.521267888871,-0.531645569620253,2047,0.234177215189873,0.788,2
"4976",-4.88121801514149,59.6471306313044,-0.569620253164557,2047,0.215189873417721,0.788,2
"4977",-3.91736090257945,59.7756742116882,-0.531645569620253,2047,0.234177215189873,0.788,2
"4978",-2.95415298259263,59.906836569582,-0.468354430379747,2047,0.265822784810126,0.788,2
"4979",-1.99157258929279,60.0405551190353,-0.354430379746836,2047,0.322784810126582,0.788,2
"4980",-1.02959535189478,60.1767668119489,-0.417721518987342,2047,0.291139240506329,0.788,2
"4981",-0.0681941685427887,60.3154081998616,-0.316455696202532,2047,0.341772151898734,0.788,2
"4982",-79.9317880218346,60.3154081998616,-0.39240506329114,2043,0.30379746835443,0.772,2
"4983",-78.9703868384826,60.1767668119489,-0.405063291139241,2043,0.29746835443038,0.772,2
"4984",-78.0084096010846,60.0405551190353,-0.405063291139241,2043,0.29746835443038,0.772,2
"4985",-77.0458292077848,59.906836569582,-0.405063291139241,2043,0.29746835443038,0.772,2
"4993",-69.3211085044941,58.9342938027298,-0.405063291139241,2043,0.29746835443038,0.772,2
"4994",-68.3523212179383,58.8257816070669,-0.405063291139241,2043,0.29746835443038,0.772,2
"4995",-67.3828049943458,58.7203643650561,-0.405063291139241,2043,0.29746835443038,0.772,2
"4996",-66.4125609984085,58.6180975070484,-0.405063291139241,2043,0.29746835443038,0.772,2
"5000",-62.5244109128595,58.2416009972835,-0.405063291139241,2043,0.29746835443038,0.772,2
"5001",-61.5506250976981,58.1558749985732,-0.354430379746836,2040,0.322784810126582,0.76,2
"5002",-60.5761654632082,58.0736054689357,-0.113924050632911,2044,0.443037974683544,0.776,2
"5003",-59.6010482873009,57.9948383530416,0.0506329113924051,1997,0.525316455696203,0.588,1
"5004",-58.6252917584274,57.9196179652309,0.215189873417722,2000,0.607594936708861,0.6,1
"5005",-57.6489159053241,57.8479869240106,0.265822784810127,2000,0.632911392405063,0.6,1
"5006",-56.6719425240967,57.7799860881694,0.303797468354431,2008,0.651898734177215,0.632,1
"5007",-55.6943951026934,57.7156544947129,0.253164556962025,2009,0.626582278481013,0.636,1
"5008",-54.7162987428243,57.655029298821,0.20253164556962,2010,0.60126582278481,0.64,1
"5009",-53.7376800793897,57.5981457160247,0.240506329113924,2012,0.620253164556962,0.648,1
"5010",-52.7585671975046,57.5450369667952,0.303797468354431,2012,0.651898734177215,0.648,1
"5011",-51.7789895472029,57.4957342237325,0.379746835443038,2012,0.689873417721519,0.648,1
"5012",-50.7989778559231,57.4502665615344,0.430379746835443,2012,0.715189873417722,0.648,1
"5013",-49.8185640388892,57.4086609099176,0.430379746835443,2011,0.715189873417722,0.644,1
"5014",-48.837781107504,57.3709420096564,0.481012658227848,2011,0.740506329113924,0.644,1
"5015",-47.8566630758849,57.3371323718936,0.531645569620253,2011,0.765822784810127,0.644,1
"5016",-46.8752448656841,57.3072522408676,0.518987341772152,2010,0.759493670886076,0.64,1
"5017",-45.8935622093351,57.2813195601894,0.49367088607595,2009,0.746835443037975,0.636,1
"5018",-44.9116515518847,57.2593499427912,0.531645569620253,2009,0.765822784810127,0.636,1
"5019",-43.9295499515691,57.2413566446556,0.556962025316456,2009,0.778481012658228,0.636,1
"5020",-42.9472949793027,57.2273505424209,0.506329113924051,2009,0.753164556962026,0.636,1
"5021",-41.9649246172518,57.2173401149442,0.341772151898734,2008,0.670886075949367,0.632,1
"5022",-40.9824771566721,57.2113314288914,0.39240506329114,2008,0.69620253164557,0.632,1
"5023",-39.9999823462788,57.2093281284054,0.316455696202532,2007,0.658227848101266,0.628,1
"5024",-39.0228980742875,57.5916711326817,0.240506329113924,2005,0.620253164556962,0.62,1
"5025",-38.0458467668626,57.5977568986452,0.113924050632911,2003,0.556962025316456,0.612,1
"5026",-37.0688787784235,57.6078956771944,0.126582278481013,2005,0.563291139240506,0.62,1
"5027",-36.0920354987473,57.6220812289114,0.126582278481013,2008,0.563291139240506,0.632,1
"5028",-35.1153579945096,57.6403048339154,0.151898734177215,2008,0.575949367088608,0.632,1
"5029",-34.1388869025111,57.6625553070976,0.151898734177215,2009,0.575949367088608,0.636,1
"5030",-33.1626623236933,57.6888190176105,0.113924050632911,2009,0.556962025316456,0.636,1
"5031",-32.186723718132,57.7190799125388,0.113924050632911,2009,0.556962025316456,0.636,1
"5032",-31.211109801193,57.7533195446625,0.164556962025316,2011,0.582278481012658,0.644,1
"5033",-30.2358584410297,57.7915171042103,0.265822784810127,2017,0.632911392405063,0.668,1
"5034",-29.2610065575946,57.8336494544851,0.0632911392405063,1972,0.531645569620253,0.488,1
"5035",-28.2865900233284,57.8796911712314,0.0632911392405063,1971,0.531645569620253,0.484,1
"5036",-27.3126435656832,57.9296145855995,-0.10126582278481,1986,0.449367088607595,0.544,1
