"","lons","lats","max_detect","when_detect","max_detect_scaled","when_detect_scaled","cluster"
"438",317.5,35.5,-0.215189873417722,2063,0.392405063291139,0.852,3
"439",318.5,35.5,-0.215189873417722,2060,0.392405063291139,0.84,3
"440",319.5,35.5,-0.265822784810127,2060,0.367088607594937,0.84,3
"441",320.5,35.5,-0.367088607594937,2060,0.316455696202532,0.84,3
"442",321.5,35.5,-0.430379746835443,2055,0.284810126582278,0.82,3
"443",322.5,35.5,-0.39240506329114,2057,0.30379746835443,0.828,3
"444",323.5,35.5,-0.367088607594937,2058,0.316455696202532,0.832,3
"445",324.5,35.5,-0.39240506329114,2060,0.30379746835443,0.84,3
"446",325.5,35.5,-0.417721518987342,2057,0.291139240506329,0.828,3
"447",326.5,35.5,-0.430379746835443,2057,0.284810126582278,0.828,3
"448",327.5,35.5,-0.430379746835443,2057,0.284810126582278,0.828,3
"449",328.5,35.5,-0.417721518987342,2057,0.291139240506329,0.828,3
"450",329.5,35.5,-0.379746835443038,2058,0.310126582278481,0.832,3
"451",330.5,35.5,-0.405063291139241,2058,0.29746835443038,0.832,3
"452",331.5,35.5,-0.405063291139241,2058,0.29746835443038,0.832,3
"453",332.5,35.5,-0.417721518987342,2058,0.291139240506329,0.832,3
"454",333.5,35.5,-0.430379746835443,2058,0.284810126582278,0.832,3
"455",334.5,35.5,-0.341772151898734,2055,0.329113924050633,0.82,3
"456",335.5,35.5,-0.227848101265823,2017,0.386075949367089,0.668,3
"457",336.5,35.5,-0.151898734177215,2065,0.424050632911392,0.86,3
"458",337.5,35.5,0.126582278481013,1964,0.563291139240506,0.456,2
"459",338.5,35.5,0.164556962025316,1964,0.582278481012658,0.456,2
"460",339.5,35.5,0.113924050632911,1964,0.556962025316456,0.456,2
"461",340.5,35.5,0.10126582278481,1917,0.550632911392405,0.268,1
"462",341.5,35.5,0.126582278481013,1942,0.563291139240506,0.368,2
"463",342.5,35.5,0.139240506329114,1964,0.569620253164557,0.456,2
"464",343.5,35.5,0.151898734177215,1962,0.575949367088608,0.448,2
"465",344.5,35.5,0.113924050632911,1962,0.556962025316456,0.448,2
"466",345.5,35.5,0.139240506329114,1962,0.569620253164557,0.448,2
"467",346.5,35.5,0.151898734177215,1962,0.575949367088608,0.448,2
"468",347.5,35.5,0.177215189873418,1962,0.588607594936709,0.448,2
"469",348.5,35.5,0.164556962025316,1962,0.582278481012658,0.448,2
"470",349.5,35.5,0.164556962025316,1962,0.582278481012658,0.448,2
"471",350.5,35.5,0.151898734177215,1962,0.575949367088608,0.448,2
"472",351.5,35.5,0.113924050632911,1962,0.556962025316456,0.448,2
"473",352.5,35.5,0.113924050632911,1962,0.556962025316456,0.448,2
"474",353.5,35.5,0.164556962025316,1962,0.582278481012658,0.448,2
"475",354.5,35.5,0.164556962025316,1962,0.582278481012658,0.448,2
"476",355.5,35.5,0.164556962025316,1962,0.582278481012658,0.448,2
"477",356.5,35.5,0.151898734177215,1962,0.575949367088608,0.448,2
"478",357.5,35.5,0.164556962025316,1962,0.582278481012658,0.448,2
"479",358.5,35.5,0.189873417721519,1962,0.59493670886076,0.448,2
"485",284.5,36.5,0.240506329113924,1962,0.620253164556962,0.448,2
"486",285.5,36.5,0.189873417721519,1923,0.59493670886076,0.292,1
"487",286.5,36.5,0.151898734177215,1997,0.575949367088608,0.588,2
"488",287.5,36.5,0.126582278481013,1997,0.563291139240506,0.588,2
"489",288.5,36.5,0.139240506329114,1997,0.569620253164557,0.588,2
"490",289.5,36.5,0.10126582278481,2012,0.550632911392405,0.648,3
"491",290.5,36.5,-0.0632911392405063,1873,0.468354430379747,0.092,1
"492",291.5,36.5,-0.0886075949367089,1873,0.455696202531646,0.092,1
"493",292.5,36.5,0.113924050632911,1995,0.556962025316456,0.58,2
"494",293.5,36.5,0.164556962025316,1992,0.582278481012658,0.568,2
"495",294.5,36.5,0.10126582278481,1995,0.550632911392405,0.58,2
"496",295.5,36.5,0.139240506329114,1995,0.569620253164557,0.58,2
"497",296.5,36.5,0.126582278481013,1995,0.563291139240506,0.58,2
"498",297.5,36.5,0.227848101265823,1995,0.613924050632911,0.58,2
"499",298.5,36.5,0.151898734177215,1995,0.575949367088608,0.58,2
